し,タイトル,作者・画,作者・原作,掲載誌,13093,完結,ジャンル,タグ,他メディア
あおきうちゅうよりきみへ,蒼き宇宙より君へ,志水圭 ,,,10,,SF,,
あおきしんわまるす,蒼き神話マルス,本島幸久,,,13,完結,ドラマ,競馬 馬 ギャンブル,
あおきはがねのあるぺじお,蒼き鋼のアルペジオ,Ark Performance,,,3,,SF,,
あおきほのお,蒼き炎,石川サブロウ,,,12,完結,ドラマ,美術 画家,
あおきほのお,青き炎,柳沢きみお,,,6,,サスペンス,,
あおぞらいっぱいのらくがき,青空いっぱいのらくがき,立原あゆみ,,,3,完結,,,
あおぞらえーる,青空エール,河原和音,,,7,,ドラマ,音楽 トランペット 文化部 吹奏楽部,
あおぞらにとおくさけびたり,青空にとおく酒浸り,安永航一郎,,,3,,,,
あおぞらふろっぴぃ,青空ふろっぴぃ,細野不二彦,,,6,完結,スポーツ,サッカー,
あおになれ,青になれ！,倉持知子 ,,,4,完結 続編あり,スポーツ,バスケットボール,
あおになれこうこうへん,青になれ！ 高校編,倉持知子 ,,,5,完結 続編,スポーツ,バスケットボール,
あおのえくそしすと,青の祈祷師,加藤和恵,,,7,,ファンタジー,修道院 祓魔師,ア
あおのぐんぞう,青の群像,金子節子 ,,	Eleganceイブ,5,完結 続編あり,ドラマ,双子,
あおのぐんぞうけっこんじだい,青の群像　～結婚時代～,金子節子 ,,	Eleganceイブ,6,完結 続編,恋愛,,
あおのさんくとぅす,蒼のサンクトゥス,やまむらはじめ,,,5,,SF,,
あおのふういん,蒼の封印,篠原千絵 ,,少女コミック,11,,サスペンス,,
あおのみれにあむ,蒼のミレニアム,杜野亜希,,,6,,,,
あおのろくごう,青の6号,	小沢さとる,,,3,完結,,潜水艦,ア ゲ
あおばじてんしゃてん,アオバ自転車店,	宮尾岳,,ヤングキング,38,,ドラマ,自転車,
あおばもゆ,青葉燃ゆ,のんた丸孝,,,2,完結,,,
あおはらいど,アオハライド,咲坂伊緒,,,2,,,,
あおはるっ,アオハルッ！,みもり ,,プリンセス,3,完結,,,
あおみゆくゆき,青みゆく雪,宇仁田ゆみ,,,1,,,,
あおりんごめいきゅう,青りんご迷宮,さいとうちほ ,,プリンセス,3,,恋愛,,
あがーるず,A GIRLS,玉越博幸 ,イタバシマサヒロ,月刊コミックブレイド,3,完結,恋愛,,
あかいあぴる,赤い鳩,池上遼一,小池一夫,,6,完結,時代劇,新選組 日ユ同祖論,
あかいあぴる,赤い鳩アピル,池上遼一,小池一夫,,5,完結,歴史,幕末 日ユ同祖論,
あかいいと,赤い糸,村生ミオ,,ヤングチャンピオン,3,,恋愛,,
あかいしばふ,紅い芝生,弘兼憲史,小池一夫,,6,完結,スポーツ ドラマ,ゴルフ,
あかいちごしろいちご,アカイチゴシロイチゴ　,宇仁田ゆみ,,,1,完結,短編集,,
あかいつるぎ,緋色い剣,あずみ椋,,,10,,アクション ファンタジー,,
あかがみのしらゆきひめ,赤髪の白雪姫,あきづき空太,,LaLaDX,5,,ファンタジー,,
あかぎ,アカギ,福本伸行 ,,,19,,ドラマ,麻雀,
あかくさくこえ,あかく咲く声,緑川ゆき,,花とゆめ,3,,SF,,
あかしやのほし,アカシヤの星,たくまる圭,,,3,,ドラマ,幼稚園,
あかずきんちゃちゃ,赤ずきんチャチャ,彩花みん,,りぼん,13,,ファンタジー,魔法使い,
あかたんあおたん,紅たん碧たん,新谷かおる,,,2,完結,,,
あかちゃんとぼく,赤ちゃんと僕,羅川真里茂,,,18,,ドラマ,,
あかつきおとこじゅく,暁!!男塾,宮下あきら,,,25,,ギャグ,,
あかつきにたつらいおん,暁に立つライオン,篠原千絵,,,1,完結,サスペンス,,
あかつきのいーじす,暁のイージス,藤原芳秀,,,6,,アクション,,
あかつきのうみをゆけ,暁の海を征け,津雲むつみ,,ユー,6,完結,歴史 ドラマ,明治維新,
あかつきのきょうしつ,あかつきの教室,板倉梓,,,2,完結,ドラマ,,
あかつきのやみ,暁の闇,夏乃あゆみ,かわい有美子,月刊コミック アヴァルス,5,,歴史 ドラマ,平安時代,
あかつきのよな,暁のヨナ,草凪みずほ,,,6,,,,
あかでめいあのぼうけんしゃ,アカデメイアの冒険者,やまざき貴子,,,2,完結,SF,,
あかてんひーろー,あかてん☆ヒーロー!,南京ぐれ子,,,3,,アクション,,
あかとてつ,赤と鉄,あだちつよし,鍋島雅治,,2,,ドラマ,,
あかねいろにそまるさか,あかね色に染まる坂,酒月ほまれ,feng,,2,完結,学園 コメディー,,
あかねぐも,あかね雲,里中満智子,,,3,完結,ドラマ,,
あかねちゃんおーばーどらいぶ,あかねちゃん OVERDRIVE,桃栗みかん,,,2,,,,
あかねろじゅんじょう,茜色純情,庄司陽子,,ＢＥ・ＬＯＶＥ,3,完結,恋愛,,
あがぺ,アガペ,石黒正数,鹿島潤,,4,完結,,,
あかぼしいぶんすいこでん,AKABOSHI －異聞水滸伝－,天野洋一,,週刊少年ジャンプ,3,完結,歴史 アクション ファンタジー,中国 水滸伝,
あかめがきる,アカメが斬る！,田代哲也,タカヒロ,,3,,アクション ファンタジー,,
あかりをください,あかりをください,紺野キタ,,,1,完結,短編集,,
あがるた,アガルタ,松本嵩春,,ウルトラジャンプ,9,,SF,,
あきそら,あきそら,糸杉柾宏,,,6,完結,恋愛 ドラマ,近親相姦,
あきばしょ,アキバ署!,瀬尾浩史,,,3,,ドラマ,警察 IT,
あきはばらあっとでぃーぷ,アキハバラ@DEEP,アカネマコト,石田衣良,,6,,,,
あきはばらむほうがいがんめいど,アキハバラ無法街 ～GUN MAID～,杉村麦太,,チャンピオンRED,1,完結,SF,メイド喫茶,
あきひ,燁姫,佐伯かよの,,,18,完結,ドラマ,美術 贋作,
あきら,AKIRA,大友克洋,,,6,完結,SF アクション,,
あくあ,AQUA,天野こずえ,,,2,完結,ファンタジー,,
あくあないと,水中騎士,木城ゆきと,,,3,完結,アクション ファンタジー,,
あくじょしがん,悪女志願,里中満智子,,,4,完結,恋愛,,
あくじょのかがみ,悪女の鑑,和気一作,倉科遼,,2,完結,ドラマ,,
あくしょんしるくろーどそんごくう,アクションシルクロード　孫悟空,小島剛夕,小池一夫,,9,完結,ファンタジー,西遊記,
あくたー,アクター ,かわぐちかいじ ,,モーニング,14,,ドラマ,芸能界 俳優,
あくにんしがん,悪人志願,横山まさみち,梶山季之,,4,完結,ドラマ,,
あくのはな,惡の華　,押見修造,,,4,,,,
あくまがりかんよくのせいてんしへん,悪魔狩り -冠翼の聖天使篇-,戸土野正内郎,,月刊コミックブレイド,6,,ファンタジー,,
あくまがりしゅくめつのせいこうかへん,悪魔狩り -寂滅の聖頌歌篇-,戸土野正内郎,,月刊コミックブレイド,7,,ファンタジー,,
あくまがりでーもんはんたーず,悪魔狩り DaemonHunters,戸土野正内郎 ,,月刊コミックブレイド,1,,ファンタジー,,
あくまくん,悪魔くん,水木しげる,,,2,完結,ホラー,悪魔,
あくまたちのす,悪魔たちの巣,高階良子,,ミステリーボニータ,6,完結,サスペンス,,
あくまたちのぱらだいす,悪魔たちのパラダイス,高階良子,,ミステリーボニータ,2,完結,サスペンス,,
あくまでじゅんじょう,アクマで純愛,池沢理美,,別冊フレンド,2,完結,コメディー,多重人格,
あくまでそうろう,悪魔で候,高梨みつば,,別冊マーガレット,7,,恋愛,,
あくまとらぶそんぐ,悪魔とラブソング,桃森ミヨシ,,マーガレット,13,完結,ドラマ,学園,
あくまなえろす,悪魔なエロス,新條まゆ,,,4,,ファンタジー,悪魔,
あくまのようなあなた,悪魔のようなあなた,松本ななこ,,Cheese!,5,,恋愛,,
あくめつ,アクメツ,余湖裕輝,田畑由秋,週刊少年チャンピオン,19,完結,アクション,,
あげいん,アゲイン！！,久保ミツロウ,,,1,,,,
あけちみつひで,明智光秀,岡村賢二,,,1,完結,歴史,戦国時代,
あげはでんせつ,胡蝶伝説,池田ユキオ,,ユー,4,完結 続編あり,ドラマ,風俗 キャバクラ,
あげはでんせつろっぽんぎげきとうへん,胡蝶伝説～六本木激闘編～,池田ユキオ,,ユー,2,続編,ドラマ,風俗 キャバクラ,
あけぼのソックス,あけぼのソックス,安永知澄,,,1,,恋愛,,
あこがれたいゆめ,あこがれたい夢,,,少女コミック,6,,恋愛,,
あことさむらいたち,亜子とサムライたち,志賀公江,,,2,,恋愛,,
あごなしげんとおれものがたり,アゴなしゲンとオレ物語,平本アキラ,,	ヤングマガジン,32,,コメディー,,
あざ,あざ,茶屋町勝呂,,,2,,歴史,坂本龍馬 幕末,
あさぎりのみこ,朝霧の巫女,宇河弘樹,,ヤングキングアワーズ,7,,ファンタジー,,
あさくらくんちょっと,朝倉くんちょっと！,石塚夢見,大石けんいち,,22,,ドラマ,OL,
あさしんあんさつしゃらん,アサシン―暗殺者―蘭,安堂久美子,横溝邦彦,,5,,サスペンス,殺し屋,
あさってだんす,あさってDance,山本直樹,,,4,,恋愛,,
あさひなぐ,あさひなぐ,こざき亜衣,,,2,,スポーツ,格闘技 薙刀,
あさまでもっと,朝まで、もっと。,湯町深,,Cheese!,2,,恋愛,,
あさもひるもよるも,朝も、昼も、夜も。,青木琴美,,少女コミック,2,,恋愛,,
あさりちゃん,あさりちゃん,室山まゆみ,,,96,,コメディー,,
あじあへんげんき,アジア変幻記,坂田靖子,,,3,,ファンタジー,,
あじいちもんめ,味いちもんめ,倉田よしみ,あべ善太,,33,,ドラマ,グルメ 和食 料理人,
あしかがあなーきー,足利アナーキー,吉沢潤一,,ヤングチャンピオン,2,,アクション,,
あしたかがやく,あした輝く,里中満智子 ,,,2,完結,歴史 恋愛,第二次世界大戦,
あしたかっぷいん,明日カップイン,木村えいじ,小池一夫,,12,完結,スポーツ ドラマ,ゴルフ,
あしたてんきになあれ,あした天気になあれ,ちばてつや ,,,58,完結,スポーツ,ゴルフ,
あしたのじょー,あしたのジョー,ちばてつや,高森朝雄(梶原一騎),週刊少年マガジン,20,完結,スポーツ,ボクシング,ア
あしたのよいち,明日のよいち!,みなもと悠,,月刊少年チャンピオン,15,,学園 コメディー,ハーレム,
あしたをだきしめて,明日を抱きしめて,ありさか邦,,,6,,恋愛,,
あしっどたうん,ACID TOWN,ありさか邦,,,2,,恋愛,,
あしゅら,アシュラ,ジョージ秋山,,,3,完結,時代劇 ドラマ,飢饉,
あすくれぴおす,アスクレピオス,内水融,,週刊少年ジャンプ,3,完結,歴史 ファンタジー,医療,
あすこーまーち,アスコーマーチ!,アキヤマ香,,,3,,学園ドラマ,工業高校,
